task,speaker_id,tts_method,fid_score,csim_score,csim_std,original_video,generated_video
task_43,S007,XTTSv2,31.694852828979492,0.8310911,0.047212142,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S007_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S007_02_BBP_NORMAL_color_25fps_6sec_XT_S007_VCTK_cloned.mp4
task_44,S007,YourTTS,32.880008697509766,0.8316437,0.051799834,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S007_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S007_02_BBP_NORMAL_color_25fps_6sec_YT_S007_VCTK_cloned.mp4
task_45,S008,CosyVoice,18.74725914001465,0.9150815,0.03427486,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S008_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S008_02_BBP_NORMAL_color_25fps_6sec_CV_S008_VCTK_cloned.mp4
task_46,S008,XTTSv2,15.595218658447266,0.9386387,0.026766455,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S008_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S008_02_BBP_NORMAL_color_25fps_6sec_XT_S008_VCTK_cloned.mp4
task_47,S008,YourTTS,17.652626037597656,0.9284054,0.029686334,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S008_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S008_02_BBP_NORMAL_color_25fps_6sec_YT_S008_VCTK_cloned.mp4
task_48,S009,CosyVoice,43.95729064941406,0.8571377,0.025675416,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S009_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S009_02_BBP_NORMAL_color_25fps_6sec_CV_S009_VCTK_cloned.mp4
task_49,S009,XTTSv2,46.7529182434082,0.8513294,0.028786944,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S009_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S009_02_BBP_NORMAL_color_25fps_6sec_XT_S009_VCTK_cloned.mp4
task_50,S009,YourTTS,45.80793380737305,0.8487544,0.027838135,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S009_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S009_02_BBP_NORMAL_color_25fps_6sec_YT_S009_VCTK_cloned.mp4
task_51,S011,CosyVoice,40.402427673339844,0.8859519,0.030893425,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S011_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S011_02_BBP_NORMAL_color_25fps_6sec_CV_S011_VCTK_cloned.mp4
task_52,S011,XTTSv2,37.562400817871094,0.8842951,0.03198527,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S011_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S011_02_BBP_NORMAL_color_25fps_6sec_XT_S011_VCTK_cloned.mp4
task_53,S011,YourTTS,35.568870544433594,0.89052355,0.03241513,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S011_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S011_02_BBP_NORMAL_color_25fps_6sec_YT_S011_VCTK_cloned.mp4
task_54,S012,CosyVoice,48.23416519165039,0.90911764,0.03429555,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S012_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S012_02_BBP_NORMAL_color_25fps_6sec_CV_S012_VCTK_cloned.mp4
task_55,S012,XTTSv2,46.48317337036133,0.91106737,0.030629586,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S012_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S012_02_BBP_NORMAL_color_25fps_6sec_XT_S012_VCTK_cloned.mp4
task_56,S012,YourTTS,54.32643127441406,0.9071611,0.03354955,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S012_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S012_02_BBP_NORMAL_color_25fps_6sec_YT_S012_VCTK_cloned.mp4
task_57,S013,CosyVoice,17.816614151000977,0.875376,0.0306226,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S013_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S013_02_BBP_NORMAL_color_25fps_6sec_CV_S013_VCTK_cloned.mp4
task_58,S013,XTTSv2,18.548526763916016,0.8710297,0.033807874,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S013_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S013_02_BBP_NORMAL_color_25fps_6sec_XT_S013_VCTK_cloned.mp4
task_59,S013,YourTTS,22.33816146850586,0.87136835,0.029790694,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S013_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S013_02_BBP_NORMAL_color_25fps_6sec_YT_S013_VCTK_cloned.mp4
